,Datetime,Open,High,Low,Close,Volume
0,2021-10-15,35809,35983,35375,35418,6386300
1,2021-10-18,35418,36157,34984,35505,11323100
2,2021-10-19,35636,36244,35462,35549,8862700
3,2021-10-20,35549,35592,34680,35027,13477800
4,2021-10-21,35114,35158,34506,34506,10218000
5,2021-10-22,34506,34723,33941,34071,11207400
6,2021-10-25,33897,33984,33115,33289,15456100
7,2021-10-26,33289,33767,33028,33723,8808900
8,2021-10-27,33897,35201,33810,35114,12399100
9,2021-10-28,35201,35983,34984,35462,12968500
10,2021-10-29,35505,35636,34940,35201,11708600
11,2021-11-01,35288,36331,35201,35983,23755600
12,2021-11-02,36070,36939,35983,36809,18597700
13,2021-11-03,37157,37244,35983,36244,18570100
14,2021-11-04,36331,38156,36244,37374,24896200
15,2021-11-05,37635,37722,37200,37287,14206300
16,2021-11-08,37635,39069,37461,38678,31640500
17,2021-11-09,38678,38938,38069,38504,16144000
18,2021-11-10,38678,39721,38504,38852,19738700
19,2021-11-11,38895,39547,37591,38373,24636000
20,2021-11-12,38591,39286,38287,38765,12313600
21,2021-11-15,39547,40677,39199,39808,28456000
22,2021-11-16,39286,39851,38678,38895,16351800
23,2021-11-17,38938,40199,38765,39851,19988000
24,2021-11-18,42067,42632,40851,42632,40958900
25,2021-11-19,43458,44153,39721,42154,31044500
26,2021-11-22,42154,43371,41633,42241,20365200
27,2021-11-23,41980,45196,41633,45196,37416800
28,2021-11-24,46066,47282,45805,46239,23397200
29,2021-11-25,46326,48238,45892,47804,25420300
30,2021-11-26,47543,48152,46066,46500,30833000
31,2021-11-29,45631,48152,45631,48065,29749300
32,2021-11-30,49368,50151,47804,48586,23961600
33,2021-12-01,48238,48847,47022,47978,23255800
34,2021-12-02,47804,48499,46935,46935,21243400
35,2021-12-03,47022,47282,43893,43893,44930900
36,2021-12-06,43980,45457,42589,44327,31273800
37,2021-12-07,45196,45631,44153,45370,15874100
38,2021-12-08,45631,45979,45023,45023,13008700
39,2021-12-09,44327,46761,44327,46761,16383100
40,2021-12-10,46674,46761,45718,46066,13984900
41,2021-12-13,46239,46935,45457,46413,15527800
42,2021-12-14,46326,46848,45718,45805,14532300
43,2021-12-15,45631,46152,44936,44936,13911100
44,2021-12-16,45109,45196,43893,44240,22318500
45,2021-12-17,44327,45979,44240,45631,16143000
46,2021-12-20,45631,47369,45283,46500,18584000
47,2021-12-21,46152,46674,45631,45631,12291900
48,2021-12-22,45631,45892,44153,44414,22770800
49,2021-12-23,44153,44240,41720,42589,26281600
50,2021-12-24,42763,43415,42067,42632,8847400
51,2021-12-27,43415,43415,42589,42719,6529300
52,2021-12-28,42850,43067,42415,42415,9860100
53,2021-12-29,42502,43806,41807,43154,9809600
54,2021-12-30,43632,45892,43545,45718,16605600
55,2021-12-31,45979,46066,44849,45023,9609300
56,2022-01-04,45631,46413,45109,46066,16445000
57,2022-01-05,46066,46848,45631,45892,15701400
58,2022-01-06,45544,46066,45109,45109,13248000
59,2022-01-07,44936,45631,44501,44849,13974400
60,2022-01-10,44849,45196,43067,43067,17471200
61,2022-01-11,43197,43980,41720,41807,15601500
62,2022-01-12,42154,43893,41807,43893,15464300
63,2022-01-13,44327,44414,42459,42459,11392500
64,2022-01-13,44327,44414,42459,42459,11392500
65,2022-01-14,42111,42980,41980,42328,6678400
66,2022-01-17,42154,42502,39373,39373,32346300
67,2022-01-18,38504,39199,36635,36766,15992300
68,2022-01-19,38156,39286,37678,39286,11085500
69,2022-01-20,39460,40155,38634,39721,9055600
70,2022-01-21,39286,39634,38417,38721,8527900
71,2022-01-24,38069,38504,36027,36027,18790500
72,2022-01-25,35636,37287,35549,37200,10236600
73,2022-01-26,37374,37722,36852,36896,8416100
74,2022-01-27,36939,38678,36592,37722,7544500
75,2022-01-28,37635,39156,37548,39156,7793600
76,2022-02-07,39981,40764,39373,39851,9690500
77,2022-02-08,39547,40068,39112,39677,6658100
78,2022-02-09,39373,40242,39373,39721,8230800
79,2022-02-10,39808,39894,38765,39199,6996200
80,2022-02-11,39112,39677,38938,39199,5557600
81,2022-02-14,38678,38852,37895,37895,10485300
82,2022-02-15,38417,38852,37678,38417,5733800
83,2022-02-16,38852,39199,38504,39025,4864700
84,2022-02-17,38938,39243,38938,39112,5870700
85,2022-02-18,38678,39808,38591,39286,9386200
86,2022-02-21,39373,40329,39373,39981,10975700
87,2022-02-22,39373,39721,38678,39112,7703800
88,2022-02-23,39286,39634,39286,39373,5632600
89,2022-02-24,39199,39981,37765,38765,12752500
90,2022-02-25,39112,40459,38938,39721,15679600
91,2022-02-28,39808,40503,39677,39721,7527000
92,2022-03-01,39981,40242,39460,39981,8804700
93,2022-03-02,39634,39851,38721,38938,12606700
94,2022-03-03,39112,39547,38678,39547,8443700
95,2022-03-04,39981,41198,39938,40503,20515200
96,2022-03-07,40068,40720,39764,40677,11608800
97,2022-03-08,40416,41894,40068,40851,24333500
98,2022-03-09,41111,41285,39894,40503,12310400
99,2022-03-10,41546,41546,40503,40503,8503400
100,2022-03-11,40155,40416,38852,39112,16762700
101,2022-03-14,38765,38938,37287,37548,16641300
102,2022-03-15,37417,38330,37374,37635,7812500
103,2022-03-16,37809,38634,37722,38069,7098600
104,2022-03-17,38634,38634,38069,38069,4717000
105,2022-03-18,38200,38678,37982,38069,7818900
106,2022-03-21,38504,38634,38069,38504,6957300
107,2022-03-22,38504,38938,38417,38547,6005800
108,2022-03-23,38678,38852,38417,38417,6329400
109,2022-03-24,38634,38634,38026,38069,7095000
110,2022-03-25,38026,38200,37635,37765,7927800
111,2022-03-28,37287,37591,36331,36722,10391600
112,2022-03-29,37287,37287,37026,37070,4100800
113,2022-03-30,36592,37548,36548,36766,6997900
114,2022-03-31,37200,37200,36505,36505,4239600
115,2022-04-01,36505,37287,35983,37287,7804400
116,2022-04-04,37809,39156,37461,39112,14810300
117,2022-04-05,38938,39460,38460,38504,7217300
118,2022-04-06,37982,39025,37982,38765,8151700
119,2022-04-07,38765,39416,38287,38287,9640400
120,2022-04-08,38243,38460,37374,37374,7310200
121,2022-04-12,37461,37722,36157,36331,7028900
122,2022-04-13,36505,37157,35549,36983,8424200
123,2022-04-13,36505,37157,35549,36983,8424200
124,2022-04-14,37330,37330,36418,36505,4295500
125,2022-04-15,36331,36592,34636,34766,9691100
126,2022-04-18,34158,34766,32333,32594,16501500
127,2022-04-19,32680,33376,30421,30421,12058200
128,2022-04-20,30377,31290,30160,30594,10151300
129,2022-04-21,30073,31985,29986,31333,12545000
130,2022-04-22,31724,31855,30421,31333,7077100
131,2022-04-25,31290,31507,29160,29160,11146000
132,2022-04-26,28248,29986,27248,29986,12730000
133,2022-04-27,29769,30073,29291,29899,5114300
134,2022-04-28,29812,30116,28943,29117,6207900
135,2022-04-29,29117,29725,28813,29160,9311700
136,2022-05-04,29160,29378,27813,27813,7448400
137,2022-05-05,28248,28465,26336,26944,10130600
138,2022-05-06,26075,26683,25075,25075,15138700
139,2022-05-09,24728,24771,23337,23337,19409400
140,2022-05-10,22598,24380,22555,24250,15410200
141,2022-05-11,24380,24423,23772,24076,6152600
142,2022-05-12,23685,23945,22424,22424,15874500
143,2022-05-13,22598,23120,21772,22424,25052800
144,2022-05-16,23815,23989,23641,23728,18681800
145,2022-05-17,23467,25336,23380,25336,19673100
146,2022-05-18,25380,26031,24858,24901,24752200
147,2022-05-19,23989,25206,23989,24771,19089300
148,2022-05-20,25032,25640,24684,24728,16547700
149,2022-05-23,24771,24901,23033,23033,30832900
150,2022-05-24,22946,24423,21859,24423,21835700
151,2022-05-25,24423,25466,24337,25032,17343300
152,2022-05-26,25119,26249,25032,25597,29090600
153,2022-05-27,25466,26466,25423,25988,21093000
154,2022-05-30,26118,26683,25640,25988,14626400
155,2022-05-31,25553,26118,25206,25771,18324500
156,2022-06-01,25640,25988,24945,25684,14547600
157,2022-06-02,25727,26249,25032,25206,19231800
158,2022-06-03,25032,25814,25032,25423,17260500
159,2022-06-06,25684,25988,25032,25206,13164700
160,2022-06-07,24945,25162,23685,24510,18575400
161,2022-06-08,24771,25858,24510,25466,15160100
162,2022-06-09,25510,25727,25075,25206,7971900
163,2022-06-10,24858,25206,24206,24206,15662200
164,2022-06-13,23033,23467,22555,22555,20886700
165,2022-06-14,22077,22337,20990,21164,18121100
166,2022-06-15,21294,21512,19687,19687,19494300
167,2022-06-16,20338,20338,19078,19252,13558700
168,2022-06-17,18122,18687,17905,17905,20938200
169,2022-06-20,17948,18513,16688,16688,18264500
170,2022-06-21,15949,17296,15688,15906,24985100
171,2022-06-22,17029,17029,16837,17029,11892500
172,2022-06-23,17318,17799,17222,17799,13697300
173,2022-06-24,17703,18376,17655,17895,11929000
174,2022-06-27,18039,19098,17895,19098,13895600
175,2022-06-28,19146,19194,18713,18857,13211000
176,2022-06-29,18569,19434,18472,19001,14242800
177,2022-06-30,18953,19098,18087,18087,13242100
178,2022-07-01,17943,19050,17270,18953,15527500
179,2022-07-04,19290,19819,19194,19434,19712000
180,2022-07-05,19386,19579,18953,18953,14220100
181,2022-07-06,18472,19050,18184,18280,15164800
182,2022-07-07,18087,18472,17943,18376,9823100
183,2022-07-08,18569,19627,18569,19627,30285700
184,2022-07-11,19675,20348,19146,19867,26063700
185,2022-07-12,19771,20348,19627,20108,11926200
186,2022-07-12,19771,20348,19627,20108,11926200
187,2022-07-13,20108,20300,19531,19915,17839400
188,2022-07-14,19723,21118,19579,20685,23495100
189,2022-07-15,20781,20926,20300,20300,16577600
190,2022-07-18,20493,20589,19915,20108,18016400
191,2022-07-19,19867,20108,19338,19867,19867100
192,2022-07-20,20204,20781,20108,20493,22292300
193,2022-07-21,20397,20781,20300,20493,15960000
194,2022-07-22,20493,20685,20108,20108,17909200
195,2022-07-25,19915,20252,19531,19675,18310100
196,2022-07-26,19771,19915,19338,19483,16457400
197,2022-07-27,19242,19627,19050,19627,17804700
198,2022-07-28,20108,20541,19915,20348,19481100
199,2022-07-29,20493,20829,20252,20541,20792200
200,2022-08-01,20541,21936,20541,21936,29169900
201,2022-08-02,22128,22754,22032,22321,35526300
202,2022-08-03,22032,22802,21984,22657,22269900
203,2022-08-04,22898,22994,22128,22657,20941700
204,2022-08-05,22465,24149,22369,23860,28994000
205,2022-08-08,24197,24389,23427,23716,21251600
206,2022-08-09,23764,24004,23427,23860,14949200
207,2022-08-10,23620,24053,23523,23620,14584500
208,2022-08-11,23908,24245,22898,23475,28045800
209,2022-08-12,23427,23956,23139,23956,17178600
210,2022-08-15,24197,24341,23668,23812,14575600
211,2022-08-16,23812,24053,23523,23668,11764700
212,2022-08-17,23860,24197,23571,23620,21210600
213,2022-08-18,23379,24534,23379,24149,28626400
214,2022-08-19,24149,24485,23956,24197,15752800
215,2022-08-22,24197,24389,23668,23764,16747900
216,2022-08-23,23379,24437,22898,24437,32424700
217,2022-08-24,24678,24726,24197,24293,13465300
218,2022-08-25,24389,25015,24389,24534,14782800
219,2022-08-26,24534,24678,23860,23860,23266700
220,2022-08-29,23283,23475,22657,23475,28608300
221,2022-08-30,23716,23860,22994,23042,12094600
222,2022-08-31,22802,23283,22802,23090,10846400
223,2022-09-05,23187,23379,22802,22802,10158000
224,2022-09-06,22946,23235,22609,22850,11026900
225,2022-09-07,22802,23042,21695,21695,23212800
226,2022-09-08,22080,22128,21214,21214,15977000
227,2022-09-09,21166,21359,20493,21359,33441100
228,2022-09-12,21647,21647,21022,21022,11998300
229,2022-09-13,21022,21214,20397,20829,18972100
230,2022-09-14,20204,21311,20204,21118,25849700
231,2022-09-15,21262,21262,20781,20829,9452700
232,2022-09-16,20685,20878,20252,20348,19466700
233,2022-09-19,20348,20348,19146,19146,22693700
234,2022-09-20,19434,19964,19146,19915,14145700
235,2022-09-21,19723,20012,19579,19771,8382000
236,2022-09-22,19531,20397,19434,20300,17206400
237,2022-09-23,20204,20493,19771,19867,10814000
238,2022-09-26,19290,19531,18520,18761,22906700
239,2022-09-27,18953,19242,18761,18809,10953800
240,2022-09-28,18665,19290,18665,19001,14119800
241,2022-09-29,19434,19434,18569,18569,11341000
242,2022-09-30,18424,19050,17606,19050,20628400
243,2022-10-03,18857,18905,17751,17751,15843300
244,2022-10-04,18184,18376,16933,17125,15613300
245,2022-10-05,17655,18087,17510,17943,13616200
246,2022-10-06,17943,17943,16741,16741,12072300
247,2022-10-07,16404,16452,15586,16163,24130800
248,2022-10-10,16115,17029,15923,16741,17618200
249,2022-10-10,16115,17029,15923,16741,17618200
250,2022-10-11,16404,16741,15586,15586,16403900
251,2022-10-12,15778,16644,15634,16596,18582200
252,2022-10-13,16596,17029,16356,16837,12486200
253,2022-10-14,17318,17703,17125,17222,22036600
254,2022-10-17,16933,17318,16596,17318,13716400
255,2022-10-18,17703,17799,17029,17125,18797300
256,2022-10-19,17222,17318,16837,16981,12345400
257,2022-10-20,16837,17173,16596,16741,11211900
258,2022-10-21,16741,16789,15586,15586,28076400
259,2022-10-24,15682,15778,14528,14528,23354200
260,2022-10-25,14528,15442,13758,14480,22999400
261,2022-10-26,14720,15009,14143,14287,9014400
262,2022-10-27,14528,15249,14432,15249,21710300
263,2022-10-28,15586,15778,15249,15297,16262500
264,2022-10-31,15297,15778,14624,15682,20501900
265,2022-11-01,15971,16404,15682,16308,22328100
266,2022-11-02,16308,16404,15875,15875,15911800
267,2022-11-03,15586,16163,15538,15875,11302200
268,2022-11-04,15634,15682,14768,14768,25310800
269,2022-11-07,14672,14913,13758,13758,21167600
270,2022-11-08,13277,14576,13277,14432,16380300
271,2022-11-09,14576,15009,14335,14335,8615900
272,2022-11-10,14143,14239,13373,13373,18406100
273,2022-11-11,13758,14047,13277,13566,19859900
274,2022-11-14,13277,13950,12700,13710,20560100
275,2022-11-15,13469,13710,12796,13373,24236100
276,2022-11-16,12604,14287,12555,14287,26998600
277,2022-11-17,14576,15249,14528,15201,23384900
278,2022-11-18,15153,15971,14768,15634,34596600
279,2022-11-21,15827,15875,15345,15490,12527900
280,2022-11-22,15297,16356,15297,15730,29655000
281,2022-11-23,15586,15827,15201,15201,13126800
282,2022-11-24,14864,15394,14672,15394,16226000
283,2022-11-25,15778,16452,15538,16452,22569200
284,2022-11-28,16837,17558,16837,17558,32638900
285,2022-11-29,17799,18424,17318,18232,32279800
286,2022-11-30,17991,18665,17751,18520,29645300
287,2022-12-01,18761,18905,17510,17510,37109400
288,2022-12-02,17414,18713,17414,18713,29326500
289,2022-12-05,19531,20012,19050,20012,35813500
290,2022-12-06,19627,20156,18809,18809,41336800
291,2022-12-07,18809,19194,18184,18520,21179900
292,2022-12-08,19001,19771,18809,19771,34618000
293,2022-12-09,19915,20012,19146,19483,18581200
294,2022-12-12,19627,19964,18376,18424,26511100
295,2022-12-13,18424,19627,18136,19627,25352700
296,2022-12-14,20204,20204,19338,19338,20741200
297,2022-12-15,19338,19579,19194,19483,15553300
298,2022-12-16,19242,19819,19242,19723,21449000
299,2022-12-19,19723,21022,19579,19723,41725400
300,2022-12-20,19723,19964,18617,19050,26808800
301,2022-12-21,19434,19434,17751,18569,26446400
302,2022-12-22,18761,18809,17895,18376,13108700
303,2022-12-23,18280,18376,17558,17606,11363200
304,2022-12-26,17510,17606,16404,16404,18630300
305,2022-12-27,16356,17510,16356,17510,14748000
306,2022-12-28,17751,17751,17125,17462,10979500
307,2022-12-29,17318,17558,16933,16933,8747600
308,2022-12-30,17077,17414,16933,17029,6422100
309,2023-01-03,17125,18184,17125,18184,18046200
310,2023-01-04,18472,18761,18232,18280,10680500
311,2023-01-05,18424,18617,17991,18569,13309500
312,2023-01-06,18569,18857,18184,18184,13143700
313,2023-01-09,18376,18617,18136,18280,9711500
314,2023-01-10,18280,18520,17751,18184,11623700
315,2023-01-11,18328,19001,18328,18569,13973900
316,2023-01-12,18617,18761,18376,18569,6542800
317,2023-01-13,18761,19098,18376,18472,14327200
318,2023-01-16,18569,18761,18376,18665,7329600
319,2023-01-17,18857,19627,18761,19627,21992300
320,2023-01-18,19723,20204,19531,19771,19367400
321,2023-01-19,19675,20445,19627,20397,26454500
322,2023-01-27,20685,20781,20060,20156,19460600
323,2023-01-30,20156,20878,19915,20204,19239700
324,2023-01-31,20348,20829,20060,20781,17924900
325,2023-02-01,20878,21022,19338,19386,26556600
326,2023-02-02,19531,19627,19146,19386,11997700
327,2023-02-03,19338,19531,18857,19001,13217100
328,2023-02-06,18857,19242,18665,19242,11552300
329,2023-02-07,19338,19579,18328,18328,17388300
330,2023-02-08,18665,18953,17991,18761,12539800
331,2023-02-09,18713,19001,18569,18617,7434300
332,2023-02-10,18617,18857,18136,18280,9538000
333,2023-02-13,18232,18280,17462,17799,11360100
334,2023-02-14,18039,18184,17799,18184,6180800
335,2023-02-15,18184,18617,18087,18376,10344500
336,2023-02-16,18569,18761,18424,18761,9828100
337,2023-02-17,18713,18905,18472,18713,8056100
338,2023-02-20,18713,19964,18665,19964,23655300
339,2023-02-21,20012,20156,19675,19675,14060300
340,2023-02-22,19434,19627,18569,18569,24069100
341,2023-02-23,18569,18953,18087,18953,17946400
342,2023-02-24,19001,19001,18280,18280,7726100
343,2023-02-27,18087,18184,17558,17558,14834700
344,2023-02-28,17895,18039,17510,17558,11908000
345,2023-03-01,17606,18280,17462,18232,11380400
346,2023-03-02,18280,18376,17943,17943,5341200
