,asset,free,locked
0,BTC,0.0,0.0
1,LTC,0.0,0.0
2,ETH,0.0,0.0
3,NEO,0.0,0.0
4,BNB,0.0,0.0
5,QTUM,0.0,0.0
6,EOS,0.0,0.0
7,SNT,0.0,0.0
8,BNT,0.0,0.0
9,GAS,0.0,0.0
10,BCC,0.0,0.0
11,USDT,0.0,0.0
12,HSR,0.0,0.0
13,OAX,0.0,0.0
14,DNT,0.0,0.0
15,MCO,0.0,0.0
16,ICN,0.0,0.0
17,ZRX,0.0,0.0
18,OMG,0.0,0.0
19,WTC,0.0,0.0
20,YOYO,0.0,0.0
21,LRC,0.0,0.0
22,TRX,0.0,0.0
23,SNGLS,0.0,0.0
24,STRAT,0.0,0.0
25,BQX,0.0,0.0
26,FUN,0.0,0.0
27,KNC,0.0,0.0
28,CDT,0.0,0.0
29,XVG,0.0,0.0
30,IOTA,0.0,0.0
31,SNM,0.0,0.0
32,LINK,0.0,0.0
33,CVC,0.0,0.0
34,TNT,0.0,0.0
35,REP,0.0,0.0
36,MDA,0.0,0.0
37,MTL,0.0,0.0
38,SALT,0.0,0.0
39,NULS,0.0,0.0
40,SUB,0.0,0.0
41,STX,0.0,0.0
42,MTH,0.0,0.0
43,ADX,0.0,0.0
44,ETC,0.0,0.0
45,ENG,0.0,0.0
46,ZEC,0.0,0.0
47,AST,0.0,0.0
48,GNT,0.0,0.0
49,DGD,0.0,0.0
50,BAT,0.0,0.0
51,DASH,0.0,0.0
52,POWR,0.0,0.0
53,BTG,0.0,0.0
54,REQ,0.0,0.0
55,XMR,0.0,0.0
56,EVX,0.0,0.0
57,VIB,0.0,0.0
58,ENJ,0.0,0.0
59,VEN,0.0,0.0
60,ARK,0.0,0.0
61,XRP,0.0,0.0
62,MOD,0.0,0.0
63,STORJ,0.0,0.0
64,KMD,0.0,0.0
65,RCN,0.0,0.0
66,EDO,0.0,0.0
67,DATA,0.0,0.0
68,DLT,0.0,0.0
69,MANA,0.0,0.0
70,PPT,0.0,0.0
71,RDN,0.0,0.0
72,GXS,0.0,0.0
73,AMB,0.0,0.0
74,ARN,0.0,0.0
75,BCPT,0.0,0.0
76,CND,0.0,0.0
77,GVT,0.0,0.0
78,POE,0.0,0.0
79,BTS,0.0,0.0
80,FUEL,0.0,0.0
81,XZC,0.0,0.0
82,QSP,0.0,0.0
83,LSK,0.0,0.0
84,BCD,0.0,0.0
85,TNB,0.0,0.0
86,ADA,0.0,0.0
87,LEND,0.0,0.0
88,XLM,0.0,0.0
89,CMT,0.0,0.0
90,WAVES,0.0,0.0
91,WABI,0.0,0.0
92,GTO,0.0,0.0
93,ICX,0.0,0.0
94,OST,0.0,0.0
95,ELF,0.0,0.0
96,AION,0.0,0.0
97,WINGS,0.0,0.0
98,BRD,0.0,0.0
99,NEBL,0.0,0.0
100,NAV,0.0,0.0
101,VIBE,0.0,0.0
102,LUN,0.0,0.0
103,TRIG,0.0,0.0
104,APPC,0.0,0.0
105,CHAT,0.0,0.0
106,RLC,0.0,0.0
107,INS,0.0,0.0
108,PIVX,0.0,0.0
109,IOST,0.0,0.0
110,STEEM,0.0,0.0
111,NANO,0.0,0.0
112,AE,0.0,0.0
113,VIA,0.0,0.0
114,BLZ,0.0,0.0
115,SYS,0.0,0.0
116,RPX,0.0,0.0
117,NCASH,0.0,0.0
118,POA,0.0,0.0
119,ONT,0.0,0.0
120,ZIL,0.0,0.0
121,STORM,0.0,0.0
122,XEM,0.0,0.0
123,WAN,0.0,0.0
124,WPR,0.0,0.0
125,QLC,0.0,0.0
126,GRS,0.0,0.0
127,CLOAK,0.0,0.0
128,LOOM,0.0,0.0
129,BCN,0.0,0.0
130,TUSD,0.0,0.0
131,ZEN,0.0,0.0
132,SKY,0.0,0.0
133,THETA,0.0,0.0
134,IOTX,0.0,0.0
135,QKC,0.0,0.0
136,AGI,0.0,0.0
137,NXS,0.0,0.0
138,SC,0.0,0.0
139,NPXS,0.0,0.0
140,KEY,0.0,0.0
141,NAS,0.0,0.0
142,MFT,0.0,0.0
143,DENT,0.0,0.0
144,IQ,0.0,0.0
145,ARDR,0.0,0.0
146,HOT,0.0,0.0
147,VET,0.0,0.0
148,DOCK,0.0,0.0
149,POLY,0.0,0.0
150,VTHO,0.0,0.0
151,ONG,0.0,0.0
152,PHX,0.0,0.0
153,HC,0.0,0.0
154,GO,0.0,0.0
155,PAX,0.0,0.0
156,RVN,0.0,0.0
157,DCR,0.0,0.0
158,USDC,0.0,0.0
159,MITH,0.0,0.0
160,BCHABC,0.0,0.0
161,BCHSV,0.0,0.0
162,REN,0.0,0.0
163,BTT,0.0,0.0
164,USDS,0.0,0.0
165,FET,0.0,0.0
166,TFUEL,0.0,0.0
167,CELR,0.0,0.0
168,MATIC,0.0,0.0
169,ATOM,0.0,0.0
170,PHB,0.0,0.0
171,ONE,0.0,0.0
172,FTM,0.0,0.0
173,BTCB,0.0,0.0
174,USDSB,0.0,0.0
175,CHZ,0.0,0.0
176,COS,0.0,0.0
177,ALGO,0.0,0.0
178,ERD,0.0,0.0
179,DOGE,0.0,0.0
180,BGBP,0.0,0.0
181,DUSK,0.0,0.0
182,ANKR,0.0,0.0
183,WIN,0.0,0.0
184,TUSDB,0.0,0.0
185,COCOS,0.0,0.0
186,PERL,0.0,0.0
187,TOMO,0.0,0.0
188,BUSD,0.0,0.0
189,BAND,0.0,0.0
190,BEAM,0.0,0.0
191,HBAR,0.0,0.0
192,XTZ,0.0,0.0
193,NGN,0.0,0.0
194,DGB,0.0,0.0
195,NKN,0.0,0.0
196,GBP,0.0,0.0
197,EUR,0.0,0.0
198,KAVA,0.0,0.0
199,RUB,0.0,0.0
200,UAH,0.0,0.0
201,ARPA,0.0,0.0
202,TRY,0.0,0.0
203,CTXC,0.0,0.0
204,AERGO,0.0,0.0
205,BCH,0.0,0.0
206,TROY,0.0,0.0
207,ARS,0.0,0.0
208,BRL,0.0,0.0
209,VITE,0.0,0.0
210,FTT,0.0,0.0
211,PLN,0.0,0.0
212,RON,0.0,0.0
213,AUD,0.0,0.0
214,OGN,0.0,0.0
215,DREP,0.0,0.0
216,BULL,0.0,0.0
217,BEAR,0.0,0.0
218,ETHBULL,0.0,0.0
219,ETHBEAR,0.0,0.0
220,XRPBULL,0.0,0.0
221,XRPBEAR,0.0,0.0
222,EOSBULL,0.0,0.0
223,EOSBEAR,0.0,0.0
224,TCT,0.0,0.0
225,WRX,0.0,0.0
226,LTO,0.0,0.0
227,ZAR,0.0,0.0
228,MBL,0.0,0.0
229,COTI,0.0,0.0
230,BKRW,0.0,0.0
231,BNBBULL,0.0,0.0
232,BNBBEAR,0.0,0.0
233,HIVE,0.0,0.0
234,STPT,0.0,0.0
235,SOL,0.0,0.0
236,IDRT,0.0,0.0
237,CTSI,0.0,0.0
238,CHR,0.0,0.0
239,BTCUP,0.0,0.0
240,BTCDOWN,0.0,0.0
241,HNT,0.0,0.0
242,JST,0.0,0.0
243,FIO,0.0,0.0
244,BIDR,0.0,0.0
245,STMX,0.0,0.0
246,MDT,0.0,0.0
247,PNT,0.0,0.0
248,COMP,0.0,0.0
249,IRIS,0.0,0.0
250,MKR,0.0,0.0
251,SXP,0.0,0.0
252,SNX,0.0,0.0
253,DAI,0.0,0.0
254,ETHUP,0.0,0.0
255,ETHDOWN,0.0,0.0
256,ADAUP,0.0,0.0
257,ADADOWN,0.0,0.0
258,LINKUP,0.0,0.0
259,LINKDOWN,0.0,0.0
260,DOT,0.0,0.0
261,RUNE,0.0,0.0
262,BNBUP,0.0,0.0
263,BNBDOWN,0.0,0.0
264,XTZUP,0.0,0.0
265,XTZDOWN,0.0,0.0
266,AVA,0.0,0.0
267,BAL,0.0,0.0
268,YFI,0.0,0.0
269,SRM,0.0,0.0
270,ANT,0.0,0.0
271,CRV,0.0,0.0
272,SAND,0.0,0.0
273,OCEAN,0.0,0.0
274,NMR,0.0,0.0
275,LUNA,0.0,0.0
276,IDEX,0.0,0.0
277,RSR,0.0,0.0
278,PAXG,0.0,0.0
279,WNXM,0.0,0.0
280,TRB,0.0,0.0
281,EGLD,0.0,0.0
282,BZRX,0.0,0.0
283,WBTC,0.0,0.0
284,KSM,0.0,0.0
285,SUSHI,0.0,0.0
286,YFII,0.0,0.0
287,DIA,0.0,0.0
288,BEL,0.0,0.0
289,UMA,0.0,0.0
290,EOSUP,0.0,0.0
291,TRXUP,0.0,0.0
292,EOSDOWN,0.0,0.0
293,TRXDOWN,0.0,0.0
294,XRPUP,0.0,0.0
295,XRPDOWN,0.0,0.0
296,DOTUP,0.0,0.0
297,DOTDOWN,0.0,0.0
298,NBS,0.0,0.0
299,WING,0.0,0.0
300,SWRV,0.0,0.0
301,LTCUP,0.0,0.0
302,LTCDOWN,0.0,0.0
303,CREAM,0.0,0.0
304,UNI,0.0,0.0
305,OXT,0.0,0.0
306,SUN,0.0,0.0
307,AVAX,0.0,0.0
308,BURGER,0.0,0.0
309,BAKE,0.0,0.0
310,FLM,0.0,0.0
311,SCRT,0.0,0.0
312,XVS,0.0,0.0
313,CAKE,0.0,0.0
314,SPARTA,0.0,0.0
315,UNIUP,0.0,0.0
316,UNIDOWN,0.0,0.0
317,ALPHA,0.0,0.0
318,ORN,0.0,0.0
319,UTK,0.0,0.0
320,NEAR,0.0,0.0
321,VIDT,0.0,0.0
322,AAVE,0.0,0.0
323,FIL,0.0,0.0
324,SXPUP,0.0,0.0
325,SXPDOWN,0.0,0.0
326,INJ,0.0,0.0
327,FILDOWN,0.0,0.0
328,FILUP,0.0,0.0
329,YFIUP,0.0,0.0
330,YFIDOWN,0.0,0.0
331,CTK,0.0,0.0
332,EASY,0.0,0.0
333,AUDIO,0.0,0.0
334,BCHUP,0.0,0.0
335,BCHDOWN,0.0,0.0
336,BOT,0.0,0.0
337,AXS,0.0,0.0
338,AKRO,0.0,0.0
339,HARD,0.0,0.0
340,KP3R,0.0,0.0
341,RENBTC,0.0,0.0
342,SLP,0.0,0.0
343,STRAX,0.0,0.0
344,UNFI,0.0,0.0
345,CVP,0.0,0.0
346,BCHA,0.0,0.0
347,FOR,0.0,0.0
348,FRONT,0.0,0.0
349,ROSE,0.0,0.0
350,MDX,0.0,0.0
351,HEGIC,0.0,0.0
352,AAVEUP,0.0,0.0
353,AAVEDOWN,0.0,0.0
354,PROM,0.0,0.0
355,BETH,0.0,0.0
356,SKL,0.0,0.0
357,GLM,0.0,0.0
358,SUSD,0.0,0.0
359,COVER,0.0,0.0
360,GHST,0.0,0.0
361,SUSHIUP,0.0,0.0
362,SUSHIDOWN,0.0,0.0
363,XLMUP,0.0,0.0
364,XLMDOWN,0.0,0.0
365,DF,0.0,0.0
366,JUV,0.0,0.0
367,PSG,0.0,0.0
368,BVND,0.0,0.0
369,GRT,0.0,0.0
370,CELO,0.0,0.0
371,TWT,0.0,0.0
372,REEF,0.0,0.0
373,OG,0.0,0.0
374,ATM,0.0,0.0
375,ASR,0.0,0.0
376,1INCH,0.0,0.0
377,RIF,0.0,0.0
378,BTCST,0.0,0.0
379,TRU,0.0,0.0
380,DEXE,0.0,0.0
381,CKB,0.0,0.0
382,FIRO,0.0,0.0
383,LIT,0.0,0.0
384,PROS,0.0,0.0
385,VAI,0.0,0.0
386,SFP,0.0,0.0
387,FXS,0.0,0.0
388,DODO,0.0,0.0
389,AUCTION,0.0,0.0
390,UFT,0.0,0.0
391,ACM,0.0,0.0
392,PHA,0.0,0.0
393,TVK,0.0,0.0
394,BADGER,0.0,0.0
395,FIS,0.0,0.0
396,QI,0.0,0.0
397,OM,0.0,0.0
398,POND,0.0,0.0
399,ALICE,0.0,0.0
400,DEGO,0.0,0.0
401,BIFI,0.0,0.0
402,LINA,0.0,0.0
403,PERP,0.0,0.0
404,RAMP,0.0,0.0
405,SUPER,0.0,0.0
406,CFX,0.0,0.0
407,TKO,0.0,0.0
408,AUTO,0.0,0.0
409,EPS,0.0,0.0
410,PUNDIX,0.0,0.0
411,TLM,0.0,0.0
412,1INCHUP,0.0,0.0
413,1INCHDOWN,0.0,0.0
414,MIR,0.0,0.0
415,BAR,0.0,0.0
416,FORTH,0.0,0.0
417,EZ,0.0,0.0
418,AR,0.0,0.0
419,ICP,0.0,0.0
420,SHIB,0.0,0.0
421,POLS,0.0,0.0
422,MASK,0.0,0.0
423,LPT,0.0,0.0
424,AGIX,0.0,0.0
425,ATA,0.0,0.0
426,NU,0.0,0.0
427,NFT,189085.757996,0.0
428,GTC,0.0,0.0
429,KLAY,0.0,0.0
430,TORN,0.0,0.0
431,KEEP,0.0,0.0
432,ERN,0.0,0.0
433,BOND,0.0,0.0
434,MLN,0.0,0.0
435,C98,0.0,0.0
436,FLOW,0.0,0.0
437,QUICK,0.0,0.0
438,RAY,0.0,0.0
439,MINA,0.0,0.0
440,QNT,0.0,0.0
441,CLV,0.0,0.0
442,XEC,0.0,0.0
443,ALPACA,0.0,0.0
444,FARM,0.0,0.0
445,VGX,0.0,0.0
446,MBOX,0.0,0.0
447,WAXP,0.0,0.0
448,TRIBE,0.0,0.0
449,GNO,0.0,0.0
450,USDP,0.0,0.0
451,DYDX,0.0,0.0
452,GALA,0.0,0.0
453,ILV,0.0,0.0
454,YGG,0.0,0.0
455,FIDA,0.0,0.0
456,AGLD,0.0,0.0
457,BETA,0.0,0.0
458,RAD,0.0,0.0
459,RARE,0.0,0.0
460,SSV,0.0,0.0
461,LAZIO,0.0,0.0
462,MOVR,0.0,0.0
463,CHESS,0.0,0.0
464,DAR,0.0,0.0
465,ACA,0.0,0.0
466,ASTR,0.0,0.0
467,BNX,0.0,0.0
468,RGT,0.0,0.0
469,CITY,0.0,0.0
470,ENS,0.0,0.0
471,PORTO,0.0,0.0
472,JASMY,0.0,0.0
473,AMP,0.0,0.0
474,PLA,0.0,0.0
475,PYR,0.0,0.0
476,SANTOS,0.0,0.0
477,RNDR,0.0,0.0
478,ALCX,0.0,0.0
479,MC,0.0,0.0
480,ANY,0.0,0.0
481,VOXEL,0.0,0.0
482,BICO,0.0,0.0
483,FLUX,0.0,0.0
484,UST,0.0,0.0
485,HIGH,0.0,0.0
486,OOKI,0.0,0.0
487,CVX,0.0,0.0
488,PEOPLE,0.0,0.0
489,SPELL,0.0,0.0
490,JOE,0.0,0.0
491,BDOT,0.0,0.0
492,GLMR,0.0,0.0
493,ACH,0.0,0.0
494,IMX,0.0,0.0
495,LOKA,0.0,0.0
496,BTTC,0.0,0.0
497,ANC,0.0,0.0
498,API3,0.0,0.0
499,XNO,0.0,0.0
500,WOO,0.0,0.0
501,ALPINE,0.0,0.0
502,T,0.0,0.0
503,NBT,0.0,0.0
504,KDA,0.0,0.0
505,APE,0.0,0.0
506,GMT,0.0,0.0
507,MOB,0.0,0.0
508,BSW,0.0,0.0
509,MULTI,0.0,0.0
510,REI,0.0,0.0
511,GAL,0.0,0.0
512,NEXO,0.0,0.0
513,EPX,0.0,0.0
514,LDO,0.0,0.0
515,USTC,0.0,0.0
516,LUNC,0.0,0.0
517,OP,0.0,0.0
518,LEVER,0.0,0.0
519,STG,0.0,0.0
520,POLYX,0.0,0.0
521,GMX,0.0,0.0
522,APT,0.0,0.0
523,OSMO,0.0,0.0
524,HFT,0.0,0.0
525,HOOK,0.0,0.0
526,MAGIC,0.0,0.0
527,HIFI,0.0,0.0
528,RPL,0.0,0.0
529,GFT,0.0,0.0
530,GNS,0.0,0.0
531,SYN,0.0,0.0
532,LQTY,0.0,0.0
533,ID,0.0,0.0
534,ARB,0.0,0.0
535,RDNT,0.0,0.0
536,EDU,0.0,0.0
537,WBETH,0.0,0.0
538,SUI,0.0,0.0
539,PEPE,0.0,0.0
540,FLOKI,0.0,0.0
541,COMBO,0.0,0.0
542,NTRN,0.0,0.0
543,MAV,0.0,0.0
544,FDUSD,0.0,0.0
545,PENDLE,0.0,0.0
546,ARKM,0.0,0.0
547,WLD,0.0,0.0
548,CYBER,0.0,0.0
549,SEI,0.0,0.0
550,AEUR,0.0,0.0
551,ORDI,0.0,0.0
552,MEME,0.0,0.0
553,TIA,0.0,0.0
554,BEAMX,0.0,0.0
555,VIC,0.0,0.0
556,BLUR,0.0,0.0
557,VANRY,0.0,0.0
558,JTO,0.0,0.0
559,ACE,0.0,0.0
560,1000SATS,0.0,0.0
561,BONK,0.0,0.0
562,AXL,0.0,0.0
563,NFP,0.0,0.0
564,AI,0.0,0.0
565,XAI,0.0,0.0
566,MANTA,0.0,0.0
567,ALT,0.0,0.0
568,RONIN,0.0,0.0
569,JUP,0.0,0.0
570,PYTH,0.0,0.0
571,DYM,0.0,0.0
572,PIXEL,0.0,0.0
573,STRK,0.0,0.0
574,PORTAL,0.0,0.0
575,PDA,0.0,0.0
576,WIF,0.0,0.0
